Rank,Player,Team,Matches Played,Elims,Avg Dmg Dealt,Damage Dealt,Assists,Knocks,Headshots,KD Ratio,Max Elim Range,Survival Time,Damage Received,Healing Done,Deaths,Smokes Used,Grenades Used,Grenade Elims,Airdrops Taken,Distance Driven,Distance Walked,Distance Traveled,Stage
49.0,Mani4c,Gaming Star Esports,12.0,9.0,161.0,1936.0,6.0,7.0,2.0,0.75,174.0,12918.0,2750.0,1022.0,12.0,27.0,18.0,3.0,2.0,63199.0,19001.0,82200.0,Grand Finals
50.0,JooBrenky,Team Pandum,12.0,9.0,157.0,1891.0,5.0,7.0,3.0,0.75,119.0,12945.0,2884.0,1179.0,12.0,17.0,10.0,2.0,0.0,87386.0,12551.0,99937.0,Grand Finals
51.0,Zyol,Aurora Gaming,12.0,8.0,239.0,2876.0,7.0,13.0,4.0,0.67,173.0,13236.0,3169.0,1592.0,11.0,28.0,33.0,2.0,1.0,84915.0,18454.0,103369.0,Grand Finals
52.0,KEVIN,Geekay Esports,12.0,8.0,155.0,1867.0,3.0,8.0,2.0,0.67,258.0,14897.0,3182.0,2140.0,11.0,27.0,20.0,0.0,1.0,83396.0,21806.0,105202.0,Grand Finals
53.0,AYATO,GOAT Team,12.0,7.0,227.0,2729.0,10.0,8.0,3.0,0.58,80.0,14457.0,3045.0,2096.0,12.0,24.0,17.0,0.0,0.0,108333.0,16869.0,125202.0,Grand Finals
54.0,Lost,S2G Esports,12.0,7.0,132.0,1588.0,10.0,3.0,2.0,0.58,181.0,14749.0,3488.0,2010.0,11.0,45.0,20.0,0.0,2.0,100043.0,19296.0,119339.0,Grand Finals
55.0,FEDERALES,Bigetron by Vitality,12.0,6.0,232.0,2788.0,13.0,12.0,1.0,0.5,82.0,14049.0,3553.0,2406.0,12.0,25.0,17.0,0.0,0.0,118912.0,15437.0,134349.0,Grand Finals
56.0,Soulless,ULF Esports,12.0,6.0,187.0,2250.0,14.0,8.0,1.0,0.5,129.0,13642.0,2830.0,1140.0,11.0,17.0,15.0,2.0,0.0,86751.0,17669.0,104420.0,Grand Finals
57.0,MOXXXYY,GOAT Team,12.0,6.0,151.0,1821.0,9.0,5.0,1.0,0.5,131.0,14534.0,2606.0,2148.0,12.0,39.0,14.0,0.0,0.0,118320.0,16908.0,135228.0,Grand Finals
58.0,Yuseph,Gaming Star Esports,12.0,5.0,257.0,3084.0,8.0,4.0,2.0,0.42,269.0,13122.0,2870.0,1347.0,12.0,17.0,12.0,0.0,0.0,47320.0,21153.0,68473.0,Grand Finals
59.0,RAGNARoK,Geekay Esports,12.0,4.0,192.0,2305.0,8.0,6.0,1.0,0.33,301.0,12647.0,2948.0,1953.0,11.0,20.0,28.0,0.0,0.0,72410.0,18216.0,90626.0,Grand Finals
60.0,LeonDZ,Team Pandum,12.0,4.0,109.0,1309.0,3.0,6.0,1.0,0.33,101.0,10346.0,3100.0,1219.0,12.0,9.0,7.0,0.0,0.0,55209.0,14228.0,69437.0,Grand Finals
61.0,JiGGL3,Horaa Esports,12.0,4.0,83.0,997.0,5.0,3.0,1.0,0.33,179.0,11770.0,2471.0,776.0,12.0,16.0,3.0,0.0,0.0,84787.0,15326.0,100113.0,Grand Finals
62.0,ALEKO,721 Esports,12.0,3.0,99.0,1194.0,6.0,6.0,0.0,0.25,220.0,10257.0,3439.0,1113.0,12.0,19.0,8.0,0.0,0.0,46691.0,17922.0,64613.0,Grand Finals
63.0,Frenzzy,Team Pandum,12.0,3.0,80.0,967.0,1.0,4.0,1.0,0.25,49.0,13134.0,2987.0,1629.0,12.0,15.0,3.0,0.0,1.0,90109.0,15165.0,105274.0,Grand Finals
64.0,Dimzy,Team Pandum,12.0,1.0,75.0,905.0,0.0,4.0,0.0,0.08,4.0,11556.0,2383.0,820.0,12.0,17.0,6.0,0.0,0.0,53916.0,15711.0,69627.0,Grand Finals
